segment,num_customers,avg_purchase_frequency,avg_customer_spend,total_segment_revenue,earliest_purchase,latest_purchase
Champions,670,13.980597014925372,7642.944805970149,5120773.02,2010-12-01,2011-12-09
Potential Loyalists,503,4.469184890656064,1544.6227833001988,776945.26,2010-12-01,2011-12-09
Loyal Customers,427,4.262295081967213,1593.654543325527,680490.49,2010-12-01,2011-12-09
About to Sleep,377,1.5517241379310345,964.1318037135278,363477.69,2010-12-01,2011-09-28
Need Attention,263,3.79467680608365,1380.5541064638783,363085.73,2010-12-01,2011-09-28
Cannot Lose,431,2.183294663573086,699.3402552204176,301415.65,2010-12-01,2011-12-09
Hibernating,958,1.1691022964509394,232.91515657620042,223132.72,2010-12-01,2011-09-28
At Risk,53,8.584905660377359,3020.620754716981,160092.9,2010-12-01,2011-09-28
New Customers,331,1.392749244712991,257.45132930513597,85216.39,2010-12-01,2011-12-08
Promising,306,1.2450980392156863,261.38807189542484,79984.75,2010-12-01,2011-11-06
