product_id,description,category,num_orders,total_quantity_sold,total_revenue,average_unit_price
P22423,REGENCY CAKESTAND 3 TIER,Food,1703,12402,142592.95,12.483401044689495
P85123A,WHITE HANGING HEART T-LIGHT HOLDER,Decoration,1973,30312,82633.28,2.893024630541872
P85099B,JUMBO BAG RED RETROSPOT,Storage,1597,42981,79660.78,2.0163839009287927
P47566,PARTY BUNTING,Storage,1379,15291,68844.33,4.8763753581661895
PPOST,POSTAGE,Other,1086,3105,65748.27,21.114429097605893
P84879,ASSORTED COLOUR BIRD ORNAMENT,Decoration,1372,30314,49260.74,1.681288256227758
P79321,CHILLI LIGHTS,Other,519,9650,46286.51,5.428759541984733
P22086,PAPER CHAIN KIT 50'S CHRISTMAS ,Gift,978,13985,38499.23,2.9379646017699117
P23203,JUMBO BAG DOILEY PATTERNS,Storage,1080,19516,37684.38,2.0553642987249545
P23298,SPOTTY BUNTING,Storage,1009,7785,36173.95,4.916591796875
P23284,DOORMAT KEEP CALM AND COME IN,Other,648,5342,35913.85,7.913511450381679
P21137,BLACK RECORD COVER FRAME,Decoration,312,10446,35810.15,3.661392405063291
P23084,RABBIT NIGHT LIGHT,Other,795,18490,35055.72,2.0152033492822965
P22386,JUMBO BAG PINK POLKADOT,Storage,869,18665,34716.59,2.0192792792792793
P22960,JAM MAKING SET WITH JARS,Gift,878,8151,32662.97,4.1837204058624575
P82484,WOOD BLACK BOARD ANT WHITE FINISH,Other,603,5321,31610.01,7.468578512396694
P22720,SET OF 3 CAKE TINS PANTRY DESIGN ,Gift,1145,6408,30177.64,4.953419689119171
P20725,LUNCH BAG RED RETROSPOT,Storage,1289,17897,28338.45,1.6588078967350037
P85099F,JUMBO BAG STRAWBERRY,Storage,652,15307,28085.2,2.008081570996979
P22178,VICTORIAN GLASS HANGING T-LIGHT,Other,813,20513,27048.51,1.4325030376670718
